ip,request_count,error_rate,avg_bytes,unique_paths,anomaly_score,is_anomaly,ml_anomaly
54.36.148.75,1,1.0,341.0,1,-1,True,True
59.94.151.27,333,0.0,4301.039039039039,111,-1,True,True
64.124.8.133,2,0.5,259.0,2,-1,True,True
64.233.173.204,5,1.0,341.0,1,-1,True,True
64.233.173.205,8,1.0,341.0,1,-1,True,True
64.233.173.206,6,1.0,341.0,1,-1,True,True
66.249.66.12,13,0.07692307692307693,2052.923076923077,9,1,False,True
66.249.66.5,23,0.08695652173913043,2918.391304347826,20,-1,True,True
66.249.92.3,1,1.0,341.0,1,-1,True,True
82.145.215.206,4,0.5,349.0,2,-1,True,True
